 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : DLX_IR_SIZE32_PC_SIZE32
Version: F-2011.09-SP3
Date   : Sun Sep 19 19:45:02 2021
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
DLX_IR_SIZE32_PC_SIZE32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[27]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[28]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[29]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[30]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/ALU_OP/OUTPUT_alu_i[31]
                               1.450    0.500    0.1000      0.0877  d
DTPTH_I/IR_OP/n9               1.224    0.502    0.1137      0.0842  
n260                           1.948    0.121    0.0685      0.0807  
DTPTH_I/IR_OP/n15              1.224    0.495    0.1086      0.0804  
n195                           1.224    0.486    0.1071      0.0793  
DTPTH_I/IR_OP/n13              1.224    0.496    0.1071      0.0793  
DTPTH_I/IR_OP/n4               1.224    0.478    0.1069      0.0792  
DTPTH_I/IR_OP/n3               1.224    0.498    0.1068      0.0791  
DTPTH_I/IR_OP/n10              1.224    0.496    0.1062      0.0786  
DTPTH_I/IR_OP/n7               1.224    0.493    0.1059      0.0784  
DTPTH_I/IR_OP/n16              1.224    0.501    0.1056      0.0782  
DTPTH_I/IR_OP/n14              1.224    0.488    0.1054      0.0781  
DTPTH_I/IR_OP/n6               1.224    0.509    0.1054      0.0780  
DTPTH_I/IR_OP/n12              1.224    0.485    0.1053      0.0780  
DTPTH_I/IR_OP/n5               1.224    0.488    0.1052      0.0779  
DTPTH_I/IR_OP/n17              1.224    0.489    0.1048      0.0776  
DTPTH_I/IR_OP/n8               1.224    0.489    0.1037      0.0768  
DTPTH_I/IR_OP/n11              1.224    0.495    0.1032      0.0764  
DTPTH_I/IR_OP/n19              1.224    0.459    0.1019      0.0754  
DTPTH_I/IR_OP/IMMEDIATE_16[0]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[1]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[2]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[3]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[4]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[5]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[6]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[7]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[8]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[9]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[10]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[11]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[12]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[13]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/IR_OP/IMMEDIATE_16[14]
                               1.228    0.500    0.1000      0.0743  d
DTPTH_I/ALU_ex[0]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[1]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[2]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[3]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[4]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[5]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[6]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[7]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[8]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[9]              1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[10]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[11]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[12]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[13]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[14]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[15]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[16]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[17]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[18]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[19]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[20]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[21]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[22]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[23]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[24]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[25]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[26]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[27]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[28]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[29]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[30]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_ex[31]             1.224    0.500    0.1000      0.0740  d
DTPTH_I/ALU_OP/adder/Cout_gen[1]
                               1.146    0.500    0.1000      0.0694  d
DTPTH_I/add_254/carry[5]       3.758    0.029    0.0266      0.0605  
DTPTH_I/ALU_OP/adder/Cout_gen[0]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[4][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[8][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[12][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[12][2]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[16][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[20][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[20][2]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[24][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[24][3]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/pi[4][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/pi[8][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/pi[12][1]
                               0.699    0.500    0.1000      0.0423  d
DTPTH_I/ALU_OP/adder/carry_logic/pi[12][2]
                               0.699    0.500    0.1000      0.0423  d
